"date","death","deathIncrease","inIcuCumulative","inIcuCurrently","hospitalizedIncrease","hospitalizedCurrently","hospitalizedCumulative","negative","negativeIncrease","onVentilatorCumulative","onVentilatorCurrently","posNeg","positive","positiveIncrease","recovered","states","totalTestResults","totalTestResultsIncrease"
"2020-02-21",0,0,,,0,,,0,0,,,0,0,0,,3,14,0
"2020-02-20",0,0,,,0,,,0,0,,,0,0,0,,3,14,1
"2020-02-19",0,0,,,0,,,0,0,,,0,0,0,,3,13,0
"2020-02-18",0,0,,,0,,,0,0,,,0,0,0,,3,13,0
"2020-02-17",0,0,,,0,,,0,0,,,0,0,0,,3,13,0
"2020-02-16",0,0,,,0,,,0,0,,,0,0,0,,3,13,0
"2020-02-15",0,0,,,0,,,0,0,,,0,0,0,,3,13,0
"2020-02-14",0,0,,,0,,,0,0,,,0,0,0,,3,13,0
"2020-02-13",0,0,,,0,,,0,0,,,0,0,0,,3,13,0
"2020-02-12",0,0,,,0,,,0,0,,,0,0,0,,3,13,1
"2020-02-11",0,0,,,0,,,0,0,,,0,0,0,,3,12,0
"2020-02-10",0,0,,,0,,,0,0,,,0,0,0,,3,12,1
"2020-02-09",,0,,,0,,,0,0,,,0,0,0,,2,11,0
"2020-02-08",,0,,,0,,,0,0,,,0,0,0,,2,11,1
"2020-02-07",,0,,,0,,,0,0,,,0,0,0,,2,10,0
"2020-02-06",,0,,,0,,,0,0,,,0,0,0,,2,10,1
"2020-02-05",,0,,,0,,,0,0,,,0,0,0,,2,9,0
"2020-02-04",,0,,,0,,,0,0,,,0,0,0,,2,9,2
"2020-02-03",,0,,,0,,,0,0,,,0,0,0,,2,7,3
"2020-02-02",,0,,,0,,,0,0,,,0,0,0,,2,4,0
"2020-02-01",,0,,,0,,,0,0,,,0,0,0,,2,4,0
"2020-01-31",,0,,,0,,,0,0,,,0,0,0,,2,4,0
"2020-01-30",,0,,,0,,,0,0,,,0,0,0,,2,4,0
"2020-01-29",,0,,,0,,,0,0,,,0,0,0,,2,4,1
"2020-01-28",,0,,,0,,,0,0,,,0,0,0,,2,3,0
"2020-01-27",,0,,,0,,,0,0,,,0,0,0,,2,3,1
"2020-01-26",,0,,,0,,,0,0,,,0,0,0,,2,2,0
"2020-01-25",,0,,,0,,,0,0,,,0,0,0,,2,2,0
"2020-01-24",,0,,,0,,,0,0,,,0,0,0,,2,2,0
"2020-01-23",,0,,,0,,,0,0,,,0,0,0,,2,2,1
"2020-01-22",,0,,,0,,,0,0,,,0,0,0,,2,1,0
